epoch,training_loss,validation_loss,validation_accuracy
0,0.15557288957966697,0.1545135378837585,0.2647462487220764
1,0.1565188512206077,0.1751144379377365,0.3211326599121094
2,0.18470007777214048,0.1716046631336212,0.4161845743656158
3,0.15061153620481488,0.1504234969615936,0.3467553555965423
4,0.14940891116857524,0.1696857810020446,0.3915788233280182
5,0.1564745505650838,0.1858082860708236,0.4287880063056946
6,0.1563641637563705,0.1864970922470092,0.3392507135868072
7,0.1805146925151348,0.1924809068441391,0.3293349742889404
8,0.1633238151669502,0.1719953715801239,0.4446248710155487
9,0.17607001960277555,0.1686087548732757,0.4012230634689331
10,0.16039685491058556,0.196637213230133,0.4111591577529907
11,0.15011243447661396,0.1862111836671829,0.3744896054267883
12,0.15386343995730078,0.1626513451337814,0.3281042277812958
13,0.16153656914830203,0.1805841326713562,0.4309291243553161
14,0.15455785468220706,0.1638752967119217,0.3720029890537262
15,0.18657043129205703,0.1531980186700821,0.4563572108745575
16,0.15125221833586688,0.1714188009500503,0.3624261915683746
17,0.16895306689871678,0.1873576194047927,0.57290118932724
18,0.15149449482560157,0.1928857415914535,0.5733275413513184
19,0.16948800310492512,0.1628499627113342,0.2089753895998001
20,0.13197816535830492,0.1677922308444976,0.1899171471595764
21,0.17299229875206942,0.1660231351852417,0.482155829668045
22,0.14221000009112886,0.1565605551004409,0.3229255974292755
23,0.14576193466782567,0.2071804106235504,0.3526234328746795
24,0.14742625132203097,0.1803900450468063,0.249216541647911
25,0.17428971007466312,0.1571643948554992,0.3152670562267303
26,0.14708518758416173,0.1521148681640625,0.6064692139625549
27,0.14366755551762048,0.1855004131793975,0.3848692178726196
28,0.14026424214243885,0.1580322235822677,0.3427092134952545
29,0.13399520590901373,0.1734694540500641,0.473088651895523
30,0.139039546996355,0.1644746661186218,0.4253928661346435
31,0.1699670851230621,0.1821185499429702,0.4266051948070526
32,0.1285129760702451,0.1601110696792602,0.4588464796543121
33,0.14939537122845645,0.142557293176651,0.4240462779998779
34,0.13819433078169815,0.1740826815366745,0.3099287748336792
35,0.14963120520114895,0.1599434167146682,0.4356110095977783
36,0.12798518538475032,0.1804614216089248,0.4044088423252105
37,0.1453428483671612,0.1844010353088379,0.5482088327407837
38,0.14287741705775256,0.1555142104625702,0.3394753038883209
39,0.16022068634629244,0.158359870314598,0.2854370474815368
40,0.15268153101205822,0.1693628579378128,0.3318962156772613
41,0.1572933934628963,0.1742314994335174,0.3694879710674286
42,0.14222381015618638,0.1482552587985992,0.4385185539722442
43,0.15736849084496493,0.1522728651762008,0.3745482265949249
44,0.15069739073514934,0.1593556404113769,0.3486171066761017
45,0.13122950047254558,0.2086815685033798,0.3671637773513794
46,0.14570345729589457,0.1566408276557922,0.3622935712337494
47,0.1525576669308874,0.1591771245002746,0.3549442291259765
48,0.15023151412606237,0.1632784157991409,0.3815280497074127
49,0.12517425641417498,0.1645781397819519,0.414678156375885
50,0.15316816121339794,0.173720046877861,0.3175600171089172
